producer,name,vintage,varietal,region,country,size_ml,format,currency,quantity,unit_cost,bin,section
Sutherland Cellars,Pinot Noir Reserve,1982,Pinot Noir,Central Otago,New Zealand,750,Bottle,USD,114,439.74,R24-4,Reds
Weingut Falkenstein,La Croix Blanche,1998,Riesling,Rheingau,Germany,750,Bottle,USD,6,8.10,A29-3,Whites
Bodega Ruiz,Weinberg Reserve,1984,Tempranillo,Rioja,Spain,750,Bottle,USD,62,1136.85,A39-1,Reds
Clos Girard,Costa Alta Rhone Blend,1991,Rhone Blend,Rhone Valley,France,750,Bottle,USD,87,215.28,S18-11,Reds
Egon Muller,Scharzhofberger,2018,Riesling,Mosel,Germany,750,Bottle,EUR,6,35.90,S36-5,Whites
Fox Hollow Bluff Wine Co.,Clos du Moulin Gewurztraminer,1979,Gewurztraminer,Alsace,France,750,Bottle,USD,1,914.59,A21-6,Whites
Bodega Campos,Fino,,Palomino,Jerez,Spain,750,Bottle,USD,1,80.91,B8-8,Fortified
Bodega Ruiz,Sonnenlage Garnacha,1987,Garnacha,Rioja,Spain,750,Bottle,USD,38,37.14,D26-12,Reds
Bodega Mendez,Quinta da Serra Albarino,2023,Albarino,Rias Baixas,Spain,750,Bottle,USD,2,18.16,R30-7,Whites
Lantern Bend Winery,Encosta Dourada Garnacha,1993,Garnacha,Priorat,Spain,750,Bottle,GBP,30,49.90,B6-9,Reds
Quinta Rocha,El Rincon,2018,Touriga Nacional,Douro,Portugal,750,Bottle,GBP,87,42.86,D35-5,Reds
Domaine Aubert,Clos des Cerisiers,1997,Cabernet Franc,Loire Valley,France,750,Bottle,GBP,4,2030.86,B12-11,Reds
Clos Moreau,Clos de la Chapelle Chardonnay,1999,Chardonnay,Burgundy,France,750,Bottle,USD,18,108.28,D26-7,Whites
Weingut Vogel,Les Chaumes,1997,Riesling,Mosel,Germany,750,Bottle,USD,34,12.55,B24-6,Whites
Marais Vineyards,Chenin Blanc,1998,Chenin Blanc,Stellenbosch,South Africa,750,Bottle,USD,120,525.58,R29-10,Whites
Finca Ibarra,Pinot Noir,1996,Pinot Noir,Casablanca Valley,Chile,750,Bottle,USD,35,141.39,R22-4,Reds
Chateau Fontaine,La Croix Blanche Chardonnay,1993,Chardonnay,Burgundy,France,750,Bottle,USD,7,64.66,S22-9,Whites
Sawyer Vineyards,Estate Chardonnay,2017,Chardonnay,Margaret River,Australia,750,Bottle,USD,55,21.19,C31-9,Whites
Fattoria Conti,Clos des Cerisiers,2018,Barbera,Piedmont,Italy,750,Bottle,USD,16,1882.11,C26-8,Reds
Amber Crossing Vineyards,Encosta Dourada,1987,Carinena,Priorat,Spain,750,Bottle,USD,50,514.08,B12-10,Reds
Foggy Bend Ridge Vineyard,Ladera Antigua,1994,Sangiovese,Tuscany,Italy,750,Bottle,USD,108,544.30,C7-11,Reds
Bodegas Reyes,Palo Cortado,NV,Palomino,Jerez,Spain,750,Bottle,USD,46,588.51,R17-12,Fortified
Bodega Castillo,Alte Reben Tempranillo,2017,Tempranillo,Ribera del Duero,Spain,750,Bottle,EUR,26,9.86,B40-9,Reds
Marais Vineyards,Single Vineyard Chenin Blanc,1982,Chenin Blanc,Stellenbosch,South Africa,750,Bottle,USD,98,412.10,S3-10,Whites
Bodega Reyes,La Petite Combe,1987,Tempranillo,Rioja,Spain,750,Bottle,USD,15,326.14,C7-9,Reds
Foggy Bend Hollow Winery,Estate Merlot,1995,Merlot,Napa Valley,United States,750,Bottle,EUR,3,251.44,S37-5,Reds
Fattoria Bianchi,Weinberg Reserve,1990,Barbera,Piedmont,Italy,750,Bottle,GBP,62,2943.78,C2-12,Reds
Ashworth Estate,Sauvignon Blanc,2009,Sauvignon Blanc,Marlborough,New Zealand,750,Bottle,USD,22,82.92,C18-10,Whites
Cantina Colombo,Terra Bruna,2013,Corvina,Veneto,Italy,750,Bottle,USD,6,92.63,R20-7,Reds
Bodega Reyes,Costa Alta Albarino,1990,Albarino,Rias Baixas,Spain,750,Bottle,USD,18,430.45,A14-1,Whites
Casa Pereira,10 Year Tawny,,Port Blend,Douro,Portugal,750,Bottle,USD,60,127.51,S36-5,Fortified
Holloway Estate,Sauvignon Blanc,2003,Sauvignon Blanc,Marlborough,New Zealand,750,Bottle,USD,4,116.57,A16-10,Whites
Iron Gate Rise Cellars,Single Vineyard Cabernet Sauvignon,1979,Cabernet Sauvignon,Stellenbosch,South Africa,750,Bottle,USD,6,14.30,C31-3,Reds
Stonebridge Ridge Vineyard,Vale do Rio,2009,Merlot,Bordeaux,France,750,Bottle,USD,23,3808.65,C24-4,Reds
Clos Delacroix,Ladera Antigua,1999,Grenache,Rhone Valley,France,750,Bottle,USD,44,1059.11,D7-1,Reds
Sutherland Cellars,Pinot Noir,1976,Pinot Noir,Central Otago,New Zealand,750,Bottle,USD,96,4474.18,R28-3,Reds
Maison Bonnet,Meursault-Perrieres,2017,Chardonnay,Burgundy,France,750,Bottle,USD,15,122.18,R3-8,Whites
Sable Hill Vineyard,Le Clos Fleuri Sangiovese,2001,Sangiovese,Tuscany,Italy,750,Bottle,GBP,25,235.63,C13-4,Reds
Bodega Mendez,Vigneto delle Rose Garnacha,2013,Garnacha,Rioja,Spain,750,Bottle,EUR,8,16.79,D23-3,Reds
Bridle Rise Winery,Old Vine Chenin Blanc,2014,Chenin Blanc,Stellenbosch,South Africa,750,Bottle,EUR,19,9.51,A38-2,Whites
Finca Delgado,Les Chaumes Albarino,1981,Albarino,Rias Baixas,Spain,750,Bottle,USD,11,1726.91,A29-3,Whites
Bodega Reyes,El Rincon,2016,Tempranillo,Rioja,Spain,750,Bottle,USD,21,844.99,C27-4,Reds
Tenuta Marchetti,La Combe aux Loups,2001,Nebbiolo,Piedmont,Italy,750,Bottle,USD,15,257.96,R33-7,Reds
Podere Ferraro,Les Chaumes Garganega,2021,Garganega,Veneto,Italy,750,Bottle,USD,1,101.76,S15-8,Whites
Tenuta Romano,Weinberg Reserve Nero d'Avola,1978,Nero d'Avola,Sicily,Italy,750,Bottle,USD,34,108.44,C21-12,Reds
Domaine Aubert,Costa Alta,2003,Cabernet Franc,Loire Valley,France,750,Bottle,USD,29,22.27,B19-4,Reds
Holloway Wines,Old Vine Pinot Gris,1988,Pinot Gris,Willamette Valley,United States,750,Bottle,USD,4,2765.27,B33-6,Whites
Vina Delgado,Carmenere Reserve,1997,Carmenere,Colchagua Valley,Chile,750,Bottle,USD,6,355.57,A19-10,Reds
Marais Vineyards,Chenin Blanc,2000,Chenin Blanc,Stellenbosch,South Africa,3000,Double Magnum,USD,19,595.65,R21-10,Whites
Vina Aguirre,Pinot Noir,2005,Pinot Noir,Casablanca Valley,Chile,750,Bottle,USD,55,35.45,A15-2,Reds
Prentice Winery,Single Vineyard Chardonnay,2019,Chardonnay,Margaret River,Australia,750,Bottle,USD,25,16.20,A31-4,Whites
Weingut Richter,Vigneto delle Rose,1998,Riesling,Rheingau,Germany,750,Bottle,USD,1,314.73,C39-4,Whites
Domaine Lefevre,Brut Tradition,,Champagne Blend,Champagne,France,750,Bottle,USD,6,4744.53,B31-7,Sparkling
Tenuta Romano,Alte Reben,2016,Cabernet Sauvignon,Tuscany,Italy,750,Bottle,EUR,21,21.90,R26-2,Reds
Chateau Riviere,Cuesta del Rio Cabernet Franc,1978,Cabernet Franc,Loire Valley,France,750,Bottle,USD,43,254.48,S12-4,Reds
Finca Ibarra,Malbec Reserve,1998,Malbec,Mendoza,Argentina,750,Bottle,USD,17,235.86,D32-9,Reds
Sawyer Winery,Old Vine Pinot Noir,2002,Pinot Noir,Willamette Valley,United States,750,Bottle,USD,74,113.54,B25-8,Reds
Domaine Aubert,Ribera Alta Chenin Blanc,2014,Chenin Blanc,Loire Valley,France,750,Bottle,GBP,29,3371.40,R12-8,Whites
Bodega Rivas,Malbec,1985,Malbec,Mendoza,Argentina,750,Bottle,USD,6,26.17,A9-7,Reds
Tenuta Marchetti,Podere del Sole Garganega,1976,Garganega,Veneto,Italy,750,Bottle,EUR,93,120.41,R34-8,Whites
Finca Delgado,Quinta da Serra,1986,Albarino,Rias Baixas,Spain,750,Bottle,EUR,55,1383.39,B28-10,Whites
Cantina Greco,La Combe aux Loups,2005,Sangiovese,Tuscany,Italy,750,Bottle,USD,3,53.77,B4-7,Reds
Bodega Reyes,Les Fournaux Albarino,1977,Albarino,Rias Baixas,Spain,750,Bottle,USD,28,223.05,C8-3,Whites
Granite Bend Cellars,Les Terrasses,1979,Cabernet Sauvignon,Bordeaux,France,750,Bottle,EUR,50,221.96,B30-1,Reds
Chateau Latour,Grand Vin,2005,Bordeaux Blend,Pauillac,France,750,Bottle,USD,3,53.51,B16-1,Reds
Weingut Kellermann,Les Terrasses Riesling,1979,Riesling,Wachau,Austria,750,Bottle,USD,67,260.63,C25-5,Whites
Ashworth Winery,Chardonnay,2008,Chardonnay,Sonoma County,United States,750,Bottle,EUR,14,185.69,B12-6,Whites
Granite Draw Cellars,Vigneto delle Rose Riesling,1993,Riesling,Rheingau,Germany,750,Bottle,USD,40,4019.48,S29-6,Whites
Weingut Baumann,Vigneto delle Rose Riesling,2018,Riesling,Mosel,Germany,750,Bottle,USD,3,685.59,A35-11,Whites
Maison Marchand,Clos de la Chapelle Cabernet Franc,1999,Cabernet Franc,Loire Valley,France,750,Bottle,USD,1,17.32,R27-11,Reds
Sawyer Estate,Estate Chardonnay,1990,Chardonnay,Napa Valley,United States,750,Bottle,USD,4,23.37,R3-9,Whites
Caldwell Cellars,Shiraz,2000,Shiraz,Barossa Valley,Australia,750,Bottle,USD,68,419.48,A40-5,Reds
Clos Riviere,Ladera Antigua,2005,Riesling,Alsace,France,750,Bottle,USD,24,402.02,S17-4,Whites
Weingut Vogel,La Petite Combe,1986,Riesling,Rheingau,Germany,750,Bottle,EUR,7,2029.25,A21-1,Whites
Chateau Delacroix,La Vigna Alta,1984,Gewurztraminer,Alsace,France,750,Bottle,USD,117,1590.58,B11-7,Whites
Finca Aguirre,Old Vine Cabernet Sauvignon,1985,Cabernet Sauvignon,Colchagua Valley,Chile,750,Bottle,USD,15,11.86,A32-3,Reds
Windward Pass Winery,Cabernet Sauvignon,2015,Cabernet Sauvignon,Colchagua Valley,Chile,750,Bottle,USD,5,4021.15,R14-2,Reds
Podere Barbieri,Les Chaumes,2008,Corvina,Veneto,Italy,750,Bottle,USD,13,148.76,S9-10,Reds
Crooked Rise Wine Co.,Estate Shiraz,2016,Shiraz,Barossa Valley,Australia,750,Bottle,USD,3,103.34,A4-1,Reds
Fattoria Conti,Clos du Moulin Nero d'Avola,2004,Nero d'Avola,Sicily,Italy,750,Bottle,GBP,10,49.55,S13-9,Reds
Fattoria Bianchi,La Combe aux Loups Garganega,1980,Garganega,Veneto,Italy,750,Bottle,EUR,13,4996.42,B20-5,Whites
van der Merwe Winery,Single Vineyard Cabernet Sauvignon,2014,Cabernet Sauvignon,Stellenbosch,South Africa,750,Bottle,USD,8,41.80,C7-3,Reds
Iron Gate Hill Cellars,Vigneto delle Rose Riesling,2002,Riesling,Wachau,Austria,750,Bottle,USD,102,41.45,R3-9,Whites
Hartley Cellars,Estate Pinot Noir,2018,Pinot Noir,Willamette Valley,United States,750,Bottle,USD,12,1023.46,R3-6,Reds
Maison Aubert,Clos Saint-Martin Gewurztraminer,1982,Gewurztraminer,Alsace,France,750,Bottle,USD,15,15.43,C1-6,Whites
Quinta da Costa,10 Year Tawny,,Port Blend,Douro,Portugal,750,Bottle,USD,12,307.40,R30-12,Fortified
Weingut Wagner,Clos du Moulin,1996,Gruner Veltliner,Wachau,Austria,750,Bottle,GBP,5,328.88,A19-6,Whites
